,備考,"Main_No
(BTS#)",Estimate_VendorType,"Estimate_ModuleMain,Main_ModuleMain","Estimate_ModuleSub,Main_ModuleSub","UN_Summary_J
現象/機能のサマリー(日本語）",UN_Summary,"UN_Detail_J
現象/機能の詳細(日本語）",UN_Detail,"UN_ImpOpeResult_J
改善後の動作と結果(日本語）",UN_ImpOpeResult,"UN_RelevantRevision_J
現象発生レビジョン(日本語）",UN_RelevantRevision,RelatedPackages,ReferDoc,ReferDoc_J,OutputProduct,InputFileName,responsibility for the UN contents
R1.01_00,2015/2/19,BTS00027790,Defect,Cal/Diags,DC_Calibration(LCD256),DC キャリブレーション FP FPHA でフェイルする現象,DC CALIBRATION failures at FP FPHA.,"T6391 LCD256モジュールの下記のDC キャリブレーションで、モジュールが正常であるにもかかわらず、フェイルすることがありました。

[項目]
・DC CALIBRATION FP FPHA BEFORE LTTB","DC Calibration on T6391 LCD256 Module of normal module operation confirmed state would fail  at the following item:

[Item]
 - DC CALIBRATION FP FPHA BEFORE LTTB",DC キャリブレーションが 正しく実行できる様になりました。,The DC Calibration runs normally without-failures.,R1.00_01のみ,R1.00_01 only,AT_T6KAQMCD_x64,,,PLXM20-CD,UN_CPD.xls,FT開発１課根岸
R1.01_00,2/11追加,BTS99999991,Defect,GUI_Tools,ConsoleWindow,テストを繰り返し実行すると異常終了する現象,Abnormal termination occurred when a test was repeatedly executed.,テストを繰り返し実行したとき、Console Windowのメモリ消費量が増加し続けて、異常終了することがありました。,"When a test was repeatedly executed, memory consumption for Console Window increased continuously, resulting in abnormal termination.",テストを繰り返し実行したときでも、Console Windowのメモリ消費量が増加し続けなくなり、異常終了しなくなりました。,"Even if a test is repeatedly executed, memory consumption for Console Window no longer increases continuously and abnormal termination no longer occurs.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft8.xls,小泉
R1.01_00,2/11追加,BTS99999992,Defect,GUI_Tools,ConsoleWindow,テストを繰り返し実行するとランプが更新されない現象,Lamps were not updated when a test was repeatedly executed.,テストを繰り返し実行したとき、サイト・コントローラの実行ステータス表示ツール・バーと結果表示ツール・バー上のランプが更新しませんでした。,"When a test was repeatedly executed, the lamps on the execution status display tool bar and result display tool bar of the site controller were not updated.",テストを繰り返し実行したときでも、サイト・コントローラの実行ステータス表示ツール・バーと結果表示ツール・バー上のランプが更新するようになりました。,"Even if a test is repeatedly executed, the lamps on the execution status display tool bar and result display tool bar of the site controller are now updated.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft8.xls,小泉
R1.01_00,,BTS00027710,Defect,GUI_Tools,Pattern Editor,Fail検索をしたとき、横方向のスクロールの位置が左端に戻る現象,The side scroll position returned to the extreme left when Fail search was performed.,Fail検索をしたとき、横方向のスクロール位置が、左端に戻る場合がありました。,The side scroll position sometimes returned to the extreme left when Fail search was performed.,Fail検索をしたとき、横方向にスクロールさせていた位置を保持するようにしました。,"When Fail search is performed, the side scroll position now remains the same.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,寺内
R1.01_00,,BTS00027691,Defect,GUI_Tools,SystemViewer,RATE Modify ダイアログでHsifオプションを編集すると異常終了する現象,Abnormal termination occurred when the Hsif option was edited in the RATE Modify dialog box.,RATE Modify ダイアログを使用してHsifオプションをONからOFFに変更した場合、SystemViewrが異常終了していました。,"When the Hsif option was changed from ON to OFF using the RATE Modify dialog box, SystemViewr was terminated abnormally.",RATE Modify ダイアログを使用してHsifオプションをONからOFFに変更しても、RATEの設定値が表示できるようにしました。,The RATE setting can now be displayed when the Hsif option is changed from ON to OFF using the RATE Modify dialog box.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.01_00,,BTS00027693,Defect,GUI_Tools,SystemViewer,HSIFPINを使用したMDCの設定値が表示できない現象,Unable to display the settings of an MDC using HSIFPIN,SIGDCクラスにHSIFPINを設定した場合、MDCのSVal、CPVal、CMValが表示できませんでした。,"When HSIFPIN was set to the SIGDC class, SVal, CPVal, and CMVal of the MDC could not be displayed.",SIGDCクラスにHSIFPINを設定しても、MDCのSVal、CPVal、CMValが表示できるようにしました。,"SVal, CPVal, and CMVal of the MDC can now be displayed when HSIFPIN is set to the SIGDC class.",R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.01_00,,BTS00027695,Defect,GUI_Tools,SystemViewer,SIGNAL Modify ダイアログを表示したまま子ウィンドウを表示すると異常終了する現象,Abnormal termination occurred when a child window was displayed with the SIGNAL Modify dialog box open.,SIGNAL Modify ダイアログを表示したまま子ウィンドウを表示した場合、ダイアログを再起動するとSystemViewrが異常終了していました。,"When a child window was displayed with the SIGNAL Modify dialog box open, SystemViewr terminated abnormally as the dialog box was restarted.",SIGNAL Modify ダイアログを表示したまま子ウィンドウを表示しても、ダイアログが再起動できるようにしました。,The dialog box can now restart properly when a child window is displayed with the SIGNAL Modify dialog box open.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,綿貫
R1.01_00,,BTS00027721,Defect,GUI_Tools,TDL Debugger Tool,ブレーク・ポイント・マーカの位置がずれる現象,The position of the break point marker was misaligned.,ブレーク・ポイント・マーカ、ポジション・マーカおよびエラー・マーカの示す場所が正しい位置よりも下にずれる場合がありました。,"The positions of the break point marker, position marker, and error marker were sometimes shifted downward from the correct positions.",各マーカが正しい位置に表示されるようにしました。,Each marker is now displayed at the correct position.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027755,Defect,GUI_Tools,TDL Debugger Tool,Debug Control Windowのメッセージ欄に関係ない文字が表示される現象,Irrelevant characters were displayed in the Message column in Debug Control Window.,TDL Debugger Toolを起動し、[Debug]→[Breakpoints...]でDebug Control Windowを起動すると、Message欄に不要なメッセージが表示されていました。,"When TDL Debugger Tool was started and then Debug Control Window was started from [Debug] → [Breakpoints...], an unwanted message was displayed in the Message column.",不要なメッセージは表示しないようにしました。,Unwanted messages are no longer displayed.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
R1.01_00,,BTS00027683,Defect,GUI_Tools,Test Control Panel,Exit Default Settingダイアログ・ボックスで無効なメニュー項目が表示される現象,An invalid menu item was displayed in the Exit Default Setting dialog box.,"Exit Default Settingダイアログ・ボックスで[Data Log]および[Execution Mode]のメニュー項目内に""As is (Recovery)""が表示されていました。","""As is (Recovery)"" was displayed as a menu item for [Data Log] and [Execution Mode] in the Exit Default Setting dialog box.",このメニュー項目は動作しないため、表示しないようにしました。,This menu item is no longer displayed because it does not work.,R1.00_00以降,R1.00_00 and later,OAI_T6KOS_x64,,,"PLXE61,PLXT61",UN_APSoft1.xls,奥富
